categorie;sous_categorie;valeur;date
Chiffre d'affaires;Chiffre d'affaires;124381.09999999999;01/02/2022
Charges d'exploitation;Charges d'exploitation;0;01/02/2022
Dépenses RH;Dépenses RH;99197.35;01/02/2022
Rémunérations;Rémunérations;66537.07;01/02/2022
Stages;Stages;0;01/02/2022
Congés payés;Congés payés;0;01/02/2022
Charges sociales;Charges sociales;7765.39;01/02/2022
Ursaff;Ursaff;24894.89;01/02/2022
Charges financière;Charges financière;0;01/02/2022
CHARGES récurrentes;CHARGES récurrentes;99197.35;01/02/2022
Résultat;Résultat;25183.749999999985;01/02/2022
Remboursement de prêt CA - 500k€??;Remboursement de prêt CA - 500k€??;1937.06;01/02/2022
Salarié;Salarié;93668.73166666666;01/02/2022
X;X;32208.28;01/02/2022
X;X;6573.8;01/02/2022
X;X;3902.67;01/02/2022
X;X;4014.92;01/02/2022
X;X;3417.58;01/02/2022
X;X;3731.74;01/02/2022
X;X;6551.3;01/02/2022
X;X;4016.27;01/02/2022
X;X;21127.64;01/02/2022
X;X;4354.35;01/02/2022
X;X;2495.14;01/02/2022
X;X;0;01/02/2022
X;X;6998.81;01/02/2022
X;X;7279.34;01/02/2022
X;X;6982.03;01/02/2022
X;X;3921.6;01/02/2022
X;X;3060.43;01/02/2022
X;X;27681.489999999998;01/02/2022
X;X;14390.57;01/02/2022
X;X;13290.92;01/02/2022
X;X;2838.7;01/02/2022
X;X;2838.7;01/02/2022
X;X;0;01/02/2022
X;X;2830.5916666666667;01/02/2022
Chiffre d'affaires;Chiffre d'affaires;99183.7;01/03/2022
Charges d'exploitation;Charges d'exploitation;0;01/03/2022
Dépenses RH;Dépenses RH;117942.07;01/03/2022
Rémunérations;Rémunérations;90248.86;01/03/2022
Stages;Stages;1160.25;01/03/2022
Congés payés;Congés payés;0;01/03/2022
Charges sociales;Charges sociales;7959.41;01/03/2022
Ursaff;Ursaff;18573.55;01/03/2022
Charges financière;Charges financière;0;01/03/2022
CHARGES récurrentes;CHARGES récurrentes;117942.07;01/03/2022
Résultat;Résultat;-18758.37000000001;01/03/2022
Remboursement de prêt BPI - 900 k€ : début 2026;Remboursement de prêt BPI - 900 k€ : début 2026;7500;01/03/2022
Remboursement de prêt CA - 500k€??;Remboursement de prêt CA - 500k€??;1942.63;01/03/2022
Salarié;Salarié;115499.62;01/03/2022
X;X;41767.42;01/03/2022
X;X;7157.13;01/03/2022
X;X;5569.33;01/03/2022
X;X;5681.58;01/03/2022
X;X;4584.24;01/03/2022
X;X;5731.74;01/03/2022
X;X;6801.3;01/03/2022
X;X;6242.1;01/03/2022
